,MealsOut,SchBkfst_0,SchBkfst_1,SchBkfst_2,SchLunch_0,SchLunch_1,SchLunch_2,NwkLunch,NwkBkfast,Milk30Days,SchMeal,NwkMeals,MilkType,GTot,GRefine,GWhole,VTot,VDrkGr,VRedOrTot,VRedOr,VTomato,VStarchTot,VStarchPot,VStarchOth,VOther,Legume,FTot,FCitMlB,FOther,DTot,DMilk,DYogurt,DCheese,PTot,Pmps,PMeat,PFrank,POrgan,PPoult,PFishLow,PFishHigh,PEgg,PSoy,PNut,Oils,SolidFat,AddSugars,Alcohol
9603,6.0,True,False,False,True,False,False,3.0,0.0,2.0,0.0,4.0,2.0,4.22,1.68,2.54,1.01,0.0,0.1,0.0,0.1,0.53,0.53,0.0,0.38,0.0,0.0,0.0,0.0,0.06,0.01,0.0,0.05,8.91,8.82,3.52,1.31,0.0,3.99,0.0,0.0,0.09,0.0,0.0,23.67,21.29,20.61,0.0
9604,1.0,False,True,False,False,True,False,0.0,0.0,3.0,1.0,1.0,2.0,7.56,7.56,0.0,1.57,0.06,0.89,0.06,0.76,0.0,0.0,0.0,0.69,0.0,1.66,0.0,1.66,1.28,0.79,0.0,0.44,1.02,0.74,0.0,0.0,0.0,0.74,0.0,0.0,0.28,0.0,0.0,7.86,37.03,15.41,0.0
9605,5.0,False,True,False,True,False,False,3.0,0.0,3.0,1.0,4.0,3.0,8.21,7.7,0.52,1.64,0.0,1.0,0.0,1.0,0.37,0.37,0.0,0.27,0.0,0.0,0.0,0.0,2.13,1.24,0.0,0.89,2.58,2.27,2.27,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,24.76,48.98,36.64,0.0
9606,15.0,False,False,True,False,False,True,0.0,0.0,2.0,2.0,2.0,3.0,3.48,3.48,0.0,1.8,0.0,0.39,0.0,0.39,1.34,1.34,0.0,0.07,0.0,0.91,0.11,0.8,1.9,1.16,0.0,0.74,7.13,7.11,3.83,0.0,0.0,3.28,0.0,0.0,0.02,0.0,0.0,53.47,52.93,39.24,0.0
9607,0.0,False,True,False,False,True,False,5.0,5.0,3.0,1.0,6.0,4.0,3.89,3.34,0.55,0.43,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.3,0.0,0.63,0.63,0.0,1.35,0.0,0.0,1.35,4.56,4.54,3.55,0.99,0.0,0.0,0.0,0.0,0.02,0.0,0.0,10.42,19.6,13.77,0.0
9608,10.0,False,True,False,False,True,False,3.0,1.0,3.0,1.0,4.0,4.0,9.91,9.91,0.0,1.52,0.0,0.41,0.0,0.41,0.85,0.85,0.0,0.26,0.48,0.0,0.0,0.0,0.77,0.0,0.0,0.76,3.4,3.4,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,62.43,14.89,64.33,0.0
9609,8.0,False,True,False,False,True,False,5.0,0.0,3.0,1.0,6.0,3.0,5.81,5.15,0.67,0.47,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.22,0.0,0.0,0.0,0.0,2.2,1.53,0.0,0.67,11.48,11.03,8.06,2.97,0.0,0.0,0.0,0.0,0.45,0.0,0.0,4.15,45.29,21.97,0.0
9610,3.0,False,False,True,False,False,True,0.0,0.0,1.0,2.0,2.0,3.0,3.85,3.85,0.0,3.65,0.0,0.17,0.0,0.17,3.04,3.04,0.0,0.43,0.0,2.65,0.99,1.66,0.58,0.58,0.0,0.0,5.92,5.87,3.37,0.0,0.0,2.5,0.0,0.0,0.05,0.0,0.0,55.92,45.44,36.37,0.0
9611,21.0,False,False,True,False,False,True,0.0,0.0,3.0,2.0,2.0,4.0,6.52,6.52,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.54,0.54,0.0,0.0,0.0,0.0,0.0,6.71,6.16,5.43,0.0,0.0,0.73,0.0,0.0,0.29,0.26,0.0,11.37,65.66,62.23,0.0
9612,0.0,False,True,False,False,True,False,3.0,3.0,3.0,1.0,4.0,3.0,7.39,7.39,0.0,0.42,0.0,0.0,0.0,0.0,0.38,0.38,0.0,0.04,0.0,0.44,0.07,0.37,1.04,1.04,0.0,0.0,4.62,4.04,2.35,1.69,0.0,0.0,0.0,0.0,0.23,0.35,0.0,10.02,45.99,27.02,0.0
9613,0.0,False,True,False,False,True,False,5.0,0.0,3.0,1.0,6.0,2.0,3.32,3.32,0.0,1.39,0.0,0.92,0.0,0.92,0.47,0.47,0.0,0.0,0.0,0.04,0.04,0.0,0.83,0.8,0.0,0.03,8.58,8.4,1.73,0.0,0.0,0.0,0.0,6.67,0.0,0.18,0.0,10.73,31.27,20.76,0.0
9614,5.0,False,True,False,False,True,False,0.0,0.0,3.0,1.0,1.0,3.0,7.79,7.79,0.0,0.37,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,2.9,2.39,0.0,2.39,0.0,0.0,0.0,0.0,0.25,0.26,0.0,9.88,28.85,4.32,0.0
